time,heading,speedDelta
22259,-26.099334,-100
22279,-28.090527,-100
22299,-30.100023,-100
22319,-32.109738,-100
22339,-34.144437,-100
22359,-36.152171,-100
22379,-38.165149,100
22399,-40.179017,100
22419,-42.189101,100
22439,-44.157070,100
22459,-46.062271,100
22479,-47.934289,100
22499,-49.768685,100
22519,-51.579520,100
22539,-53.286943,100
22559,-54.841356,100
22579,-56.212012,100
22599,-57.381545,100
22619,-58.320849,100
22639,-59.086360,100
22659,-59.658114,100
22679,-60.036112,100
22699,-60.225147,100
22719,-60.229941,100
22739,-60.278147,100
22759,-60.288668,100
22779,-60.229815,100
22799,-60.166407,100
22819,-60.116370,100
22839,-59.992234,100
22859,-59.476010,100
22879,-58.579204,100
22899,-57.386042,100
22919,-55.854618,100
22939,-54.014836,100
22959,-52.046979,100
22979,-50.092654,100
22999,-48.182143,100
23019,-46.208968,100
23039,-44.221231,100
23059,-42.199456,100
23079,-40.224807,100
23099,-38.205791,100
23119,-36.203944,100
23139,-34.183233,100
23159,-32.194309,100
23179,-30.207844,100
23199,-28.256377,100
23219,-26.316754,100
23239,-24.384958,100
23259,-22.441126,100
23279,-20.531201,100
23299,-18.596727,100
23319,-16.685462,100
23339,-14.750579,100
23359,-12.801338,100
23379,-10.833438,100
23399,-8.878652,100
23419,-6.888362,100
23439,-4.933807,100
23459,-2.960962,100
23479,-1.003034,100
23499,0.979142,100
23519,2.928928,100
23539,4.891597,100
23559,6.841725,100
23579,8.016654,100
23599,9.973545,100
23619,11.946048,100
23639,13.918047,100
23659,15.898324,100
23679,17.875814,100
23699,19.883589,100
23719,21.880886,100
23739,23.859142,100
23759,25.838913,100
23779,27.794219,100
23799,29.753008,100
23819,31.717028,100
23839,33.668731,100
23859,35.659205,100
23879,37.648547,100
23899,39.619362,100
23919,41.602912,100
23939,43.580342,100
23959,45.564018,100
23979,47.543561,100
23999,49.540041,100
24019,51.527496,100
24039,53.532247,-100
24059,55.541374,-100
24079,57.536688,-100
24099,59.483796,-100
24119,61.412661,-100
24139,63.357068,-100
24159,65.269118,-100
24179,67.120945,-100
24199,68.901229,-100
24219,70.551519,-100
24239,72.006285,-100
24259,73.261126,-100
24279,74.333882,-100
24299,75.236201,-100
24319,75.930532,-100
24339,76.435555,-100
24359,76.796087,-100
24379,76.943639,-100
24399,76.857689,-100
24419,76.830053,-100
24439,76.805554,-100
24459,76.785412,-100
24479,76.788127,-100
24499,76.710594,-100
24519,76.534333,-100
24539,76.126450,-100
24559,75.015337,-100
24579,73.362531,-100
24599,71.420640,-100
24619,69.454910,-100
24639,67.479360,-100
24659,65.480359,-100
24679,63.466608,-100
24699,61.466977,-100
24719,59.449777,-100
24739,57.439324,-100
24759,55.424417,-100
24779,53.431974,-100
24799,51.425056,-100
24819,49.447986,-100
24839,47.418872,-100
24859,45.407476,-100
24879,43.372588,-100
24899,41.374194,-100
24919,39.332746,-100
24939,37.307193,-100
24959,35.262869,-100
24979,33.258286,-100
24999,31.200243,-100
25019,29.205882,-100
25039,27.221139,-100
25059,25.263484,-100
25079,23.286977,-100
25099,21.293203,-100
25119,19.282150,-100
25139,17.266179,-100
25159,15.265793,-100
25179,13.257390,-100
25199,11.271513,-100
25219,9.296646,-100
25239,7.306656,-100
25259,5.281615,-100
25279,3.284741,-100
25299,1.304259,-100
25319,-0.689132,-100
25339,-2.704625,-100
25359,-4.714572,-100
25379,-6.712321,-100
25399,-8.717159,-100
25419,-10.733485,-100
25439,-12.738419,-100
25459,-14.741195,-100
25479,-16.765403,-100
25499,-18.798299,-100
25519,-20.808083,-100
25539,-22.793741,-100
25559,-24.795165,-100
25579,-26.792517,-100
